# output from https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500%0A
human	humanLabel
http://www.wikidata.org/entity/Q1339	Johann Sebastian Bach
http://www.wikidata.org/entity/Q1340	Antonio Vivaldi
http://www.wikidata.org/entity/Q1381	Dave Arneson
http://www.wikidata.org/entity/Q1394	Vladimir Lenin
http://www.wikidata.org/entity/Q1395	Leo Ortolani
http://www.wikidata.org/entity/Q1398	Virgil
http://www.wikidata.org/entity/Q1399	Niccolò Machiavelli
http://www.wikidata.org/entity/Q1401	Petrarch
http://www.wikidata.org/entity/Q1402	Giovanni Boccaccio
http://www.wikidata.org/entity/Q1403	Luigi Pirandello
http://www.wikidata.org/entity/Q1405	Augustus
http://www.wikidata.org/entity/Q1407	Tiberius
http://www.wikidata.org/entity/Q1409	Caligula
http://www.wikidata.org/entity/Q1411	Claudius
http://www.wikidata.org/entity/Q1413	Nero
http://www.wikidata.org/entity/Q1414	Galba
http://www.wikidata.org/entity/Q1416	Otho
http://www.wikidata.org/entity/Q1417	Vitellius
http://www.wikidata.org/entity/Q1419	Vespasian
http://www.wikidata.org/entity/Q1421	Titus
http://www.wikidata.org/entity/Q1423	Domitian
http://www.wikidata.org/entity/Q1424	Nerva
http://www.wikidata.org/entity/Q1425	Trajan
http://www.wikidata.org/entity/Q1426	Roger Federer
http://www.wikidata.org/entity/Q1427	Hadrian
http://www.wikidata.org/entity/Q1429	Antoninus Pius
http://www.wikidata.org/entity/Q1430	Marcus Aurelius
http://www.wikidata.org/entity/Q1433	Lucius Verus
http://www.wikidata.org/entity/Q1434	Commodus
http://www.wikidata.org/entity/Q1436	Pertinax
http://www.wikidata.org/entity/Q1440	Didius Julianus
http://www.wikidata.org/entity/Q1442	Septimius Severus
http://www.wikidata.org/entity/Q1446	Caracalla
http://www.wikidata.org/entity/Q1450	Bruno Mars
http://www.wikidata.org/entity/Q1463	Ferdinand Marcos
http://www.wikidata.org/entity/Q1464	Benigno Aquino III
http://www.wikidata.org/entity/Q1470	M. C. Escher
http://www.wikidata.org/entity/Q1488	Robert Brasillach
http://www.wikidata.org/entity/Q1496	Ferdinand Magellan
http://www.wikidata.org/entity/Q1500	José Rizal
http://www.wikidata.org/entity/Q1503	Manuel L. Quezon
http://www.wikidata.org/entity/Q1511	Richard Wagner
http://www.wikidata.org/entity/Q1512	Robert Louis Stevenson
http://www.wikidata.org/entity/Q1523	Ramesses II
http://www.wikidata.org/entity/Q1526	Ramesses I
http://www.wikidata.org/entity/Q1528	Ramesses III
http://www.wikidata.org/entity/Q1532	Ramesses IV
http://www.wikidata.org/entity/Q1541	Cicero
http://www.wikidata.org/entity/Q1544	Tony Garnier
http://www.wikidata.org/entity/Q1579	Ganesha
http://www.wikidata.org/entity/Q1585	Georg Simon Ohm
http://www.wikidata.org/entity/Q1589	Luigi Galvani
http://www.wikidata.org/entity/Q1604	Tim Lincecum
http://www.wikidata.org/entity/Q1615	Neil Armstrong
http://www.wikidata.org/entity/Q1618	Charles Lindbergh
http://www.wikidata.org/entity/Q1625	Sigfrid Edström
http://www.wikidata.org/entity/Q1628	David Cecil, 6th Marquess of Exeter
http://www.wikidata.org/entity/Q1634	Adriaan Paulen
http://www.wikidata.org/entity/Q1638	Primo Nebiolo
http://www.wikidata.org/entity/Q1639	Lamine Diack
http://www.wikidata.org/entity/Q1651	Yohan Blake
http://www.wikidata.org/entity/Q1654	Warren Weir
http://www.wikidata.org/entity/Q1655	Kirani James
http://www.wikidata.org/entity/Q1656	Luguelín Santos
http://www.wikidata.org/entity/Q1657	Lalonde Gordon
http://www.wikidata.org/entity/Q1659	David Rudisha
http://www.wikidata.org/entity/Q1660	Nijel Amos
http://www.wikidata.org/entity/Q1662	Timothy Kitum
http://www.wikidata.org/entity/Q1665	Taoufik Makhloufi
http://www.wikidata.org/entity/Q1666	Jacques Brel
http://www.wikidata.org/entity/Q1668	Leonel Manzano
http://www.wikidata.org/entity/Q1669	Abdalaati Iguider
http://www.wikidata.org/entity/Q1671	Mo Farah
http://www.wikidata.org/entity/Q1672	Dejen Gebremeskel
http://www.wikidata.org/entity/Q1674	Tariku Bekele
http://www.wikidata.org/entity/Q1677	Ezekiel Kemboi
http://www.wikidata.org/entity/Q1679	Mahiedine Mekhissi-Benabbad
http://www.wikidata.org/entity/Q1681	Abel Mutai
http://www.wikidata.org/entity/Q1683	Aries Merritt
http://www.wikidata.org/entity/Q1685	Jason Richardson
http://www.wikidata.org/entity/Q1687	Hansle Parchment
http://www.wikidata.org/entity/Q1690	Félix Sánchez
http://www.wikidata.org/entity/Q1691	Javier Culson
http://www.wikidata.org/entity/Q1698	Serge Gainsbourg
