type	typeLabel
http://www.wikidata.org/entity/Q25503	Q25503
http://www.wikidata.org/entity/Q25506	Q25506
http://www.wikidata.org/entity/Q25508	Q25508
http://www.wikidata.org/entity/Q25511	Q25511
http://www.wikidata.org/entity/Q25513	Q25513
http://www.wikidata.org/entity/Q25518	Q25518
http://www.wikidata.org/entity/Q25519	Q25519
http://www.wikidata.org/entity/Q25521	Q25521
http://www.wikidata.org/entity/Q25524	Q25524
http://www.wikidata.org/entity/Q25539	Q25539
http://www.wikidata.org/entity/Q25552	Q25552
http://www.wikidata.org/entity/Q25598	Q25598
http://www.wikidata.org/entity/Q25600	Den amerikanske soldat
http://www.wikidata.org/entity/Q25617	Q25617
http://www.wikidata.org/entity/Q25760	Frit fald
http://www.wikidata.org/entity/Q25835	Skyggen af en gigant
http://www.wikidata.org/entity/Q25858	Q25858
http://www.wikidata.org/entity/Q25947	Q25947
http://www.wikidata.org/entity/Q25994	Q25994
http://www.wikidata.org/entity/Q26060	Q26060
http://www.wikidata.org/entity/Q26162	Q26162
http://www.wikidata.org/entity/Q26391	Sidste træk
http://www.wikidata.org/entity/Q26644	Hvad blev der egentlig af Baby Jane?
http://www.wikidata.org/entity/Q26659	Q26659
http://www.wikidata.org/entity/Q26665	Wildcats
http://www.wikidata.org/entity/Q26751	Moon
http://www.wikidata.org/entity/Q26801	Q26801
http://www.wikidata.org/entity/Q26970	Joy ride
http://www.wikidata.org/entity/Q27067	Q27067
http://www.wikidata.org/entity/Q27128	Q27128
http://www.wikidata.org/entity/Q27132	Q27132
http://www.wikidata.org/entity/Q27149	Kongen og jeg
http://www.wikidata.org/entity/Q27178	Hamlet
http://www.wikidata.org/entity/Q27204	Live and Let Die
http://www.wikidata.org/entity/Q27338	Rædslernes hus
http://www.wikidata.org/entity/Q27343	Warm Bodies
http://www.wikidata.org/entity/Q27411	Scream
http://www.wikidata.org/entity/Q27513	Q27513
http://www.wikidata.org/entity/Q27536	Q27536
http://www.wikidata.org/entity/Q27751	Gangster Squad
http://www.wikidata.org/entity/Q28193	The new world
http://www.wikidata.org/entity/Q28196	World War Z
http://www.wikidata.org/entity/Q28234	Les Misérables
http://www.wikidata.org/entity/Q28267	Q28267
http://www.wikidata.org/entity/Q28289	Q28289
