# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%20wd%3AQ11424%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22%20.%20%7D%0A%7D%20LIMIT%205000
type	typeLabel
http://www.wikidata.org/entity/Q24732	Het geheimzinnige munstuk
http://www.wikidata.org/entity/Q24815	Citizen Kane
http://www.wikidata.org/entity/Q24910	Q24910
http://www.wikidata.org/entity/Q24911	Q24911
http://www.wikidata.org/entity/Q24933	Das Spukschloß im Spessart
http://www.wikidata.org/entity/Q24953	Monty Python's Life of Brian
http://www.wikidata.org/entity/Q24980	Monty Python's Meaning of Life
http://www.wikidata.org/entity/Q25005	Rio Rita
http://www.wikidata.org/entity/Q25057	Brazil
http://www.wikidata.org/entity/Q25069	Der Unhold
http://www.wikidata.org/entity/Q25086	Pay or Die
http://www.wikidata.org/entity/Q25139	American Beauty
http://www.wikidata.org/entity/Q25157	Aliens vs Avatars
http://www.wikidata.org/entity/Q25188	Inception
http://www.wikidata.org/entity/Q25454	Black Box BRD
http://www.wikidata.org/entity/Q25460	36 vues du pic Saint-Loup
http://www.wikidata.org/entity/Q25466	Invitation to a Gunfighter
http://www.wikidata.org/entity/Q25468	La Bande des quatre
http://www.wikidata.org/entity/Q25471	Escape from Zahrain
http://www.wikidata.org/entity/Q25479	Bommalattam
http://www.wikidata.org/entity/Q25482	Ammavin Kaipesi
http://www.wikidata.org/entity/Q25491	Aarohanam
http://www.wikidata.org/entity/Q25503	Le Pont du Nord
http://www.wikidata.org/entity/Q25506	Flight from Ashiya
http://www.wikidata.org/entity/Q25508	L'Amour par terre
http://www.wikidata.org/entity/Q25511	Noroît
http://www.wikidata.org/entity/Q25513	Paris nous appartient
http://www.wikidata.org/entity/Q25518	Charisma
http://www.wikidata.org/entity/Q25519	Merry-Go-Round
http://www.wikidata.org/entity/Q25521	Le Testament d'Orphée
http://www.wikidata.org/entity/Q25524	Hurlevent
http://www.wikidata.org/entity/Q25539	Q25539
http://www.wikidata.org/entity/Q25552	Secret défense
http://www.wikidata.org/entity/Q25598	Emil and the Detectives
http://www.wikidata.org/entity/Q25600	Der amerikanische Soldat
http://www.wikidata.org/entity/Q25617	Haut bas fragile
http://www.wikidata.org/entity/Q25760	Terminal Velocity
http://www.wikidata.org/entity/Q25835	Cast a Giant Shadow
http://www.wikidata.org/entity/Q25858	Kings of the Sun
http://www.wikidata.org/entity/Q25947	Strike Commando 2
http://www.wikidata.org/entity/Q25994	Bandits in Milan
http://www.wikidata.org/entity/Q26060	Tokyo Monogatari
http://www.wikidata.org/entity/Q26162	Podaa Podi
http://www.wikidata.org/entity/Q26391	Knight Moves
http://www.wikidata.org/entity/Q26644	What Ever Happened to Baby Jane?
http://www.wikidata.org/entity/Q26659	Prabhuvinte Makkal
http://www.wikidata.org/entity/Q26665	Wildcats
http://www.wikidata.org/entity/Q26751	Moon
http://www.wikidata.org/entity/Q26801	The Men I Wanted
http://www.wikidata.org/entity/Q26970	Joy Ride
http://www.wikidata.org/entity/Q27067	Daredevil Jack
http://www.wikidata.org/entity/Q27128	The Hawk's Trail
http://www.wikidata.org/entity/Q27132	King of the Circus
